Period,Stock,Total Assets,Investments,Borrowings,Sales,Net Profit,EPS in Rs,Dividend Payout %,Net Cash Flow
2022-03-01,VEDL,193947.0,17291.0,53583.0,132732.0,23710,50.58,89%,3817.0
2022-03-01,YESBANK,318578.0,51754.0,,,1064,0.42,0%,17423.0
2022-03-01,ZYDUSLIFE,27642.0,3288.0,4221.0,15110.0,4618,43.83,6%,219.0
2023-03-01,ADANIGREEN,66909.0,1149.0,54223.0,7776.0,973,6.15,0%,435.0
2023-03-01,ADANIPORTS,112563.0,7432.0,53434.0,20852.0,5391,24.58,20%,-7550.0
2023-03-01,BEL,35490.0,650.0,61.0,17734.0,2986,4.08,44%,2645.0
2023-03-01,BHEL,57664.0,235.0,5454.0,23365.0,654,1.88,21%,829.0
2023-03-01,CDSL,1457.0,937.0,2.0,555.0,276,13.2,61%,-35.0
2023-03-01,CIPLA,29300.0,3662.0,803.0,22753.0,2833,34.71,24%,-97.0
2023-03-01,DRREDDY,32209.0,4986.0,1347.0,24670.0,4507,54.14,15%,-907.0
2023-03-01,EXIDEIND,14758.0,5106.0,588.0,15078.0,823,9.68,21%,-61.0
2023-03-01,HAL,69276.0,1458.0,52.0,26927.0,5828,87.14,32%,1370.0
2023-03-01,HINDZINC,35467.0,10107.0,11881.0,34098.0,10511,24.88,303%,-1533.0
2023-03-01,IDEA,207243.0,6.0,237766.0,42177.0,-29301,-6.02,0%,-1224.0
2023-03-01,JIOFIN,114930.0,108141.0,743.0,45.0,31,,0%,56.0
2023-03-01,JMFINANCIL,29213.0,3584.0,15939.0,3291.0,709,6.26,29%,-739.0
2023-03-01,KAYNES,1418.0,3.0,155.0,1126.0,95,16.37,0%,19.0
2023-03-01,KOLTEPATIL,4032.0,46.0,561.0,1488.0,113,13.69,29%,79.0
2023-03-01,KOTAKBANK,620430.0,195338.0,,,14925,75.13,2%,-9740.0
2023-03-01,KPITTECH,3341.0,64.0,287.0,3365.0,387,13.9,29%,112.0
2023-03-01,LAURUSLABS,7660.0,50.0,2015.0,6041.0,793,14.67,14%,-30.0
2023-03-01,MOTILALOFS,22949.0,4787.0,10278.0,4178.0,935,15.74,16%,439.0
2023-03-01,NMDC,29953.0,940.0,2128.0,17667.0,5601,6.37,35%,-28.0
2023-03-01,PAYTM,17966.0,2697.0,223.0,7990.0,-1776,-28.02,0%,1931.0
2023-03-01,PGEL,1509.0,2.0,577.0,2160.0,77,3.41,0%,-15.0
2023-03-01,PRAJIND,2619.0,543.0,42.0,3528.0,240,13.05,34%,-9.0
2023-03-01,RELIANCE,1605882.0,235560.0,451664.0,876396.0,74088,49.29,9%,32486.0
2023-03-01,SAIL,130782.0,4185.0,30773.0,104448.0,2177,5.27,28%,-74.0
2023-03-01,SKIPPER,2223.0,10.0,494.0,1980.0,36,3.15,3%,1.0
2023-03-01,SUZLON,5523.0,0.0,1938.0,5971.0,2887,2.28,0%,-133.0
2023-03-01,TATAMOTORS,334674.0,26379.0,134113.0,345967.0,2690,7.27,32%,-6272.0
2023-03-01,VEDL,189455.0,13150.0,80329.0,147308.0,14503,28.45,357%,-1745.0
2023-03-01,YESBANK,355204.0,76749.0,,,736,0.26,0%,-27392.0
2023-03-01,ZYDUSLIFE,25562.0,1547.0,1195.0,17237.0,2092,19.37,31%,-170.0
2024-03-01,ADANIGREEN,88086.0,1515.0,64858.0,9220.0,1260,6.94,0%,606.0
2024-03-01,ADANIPORTS,116999.0,4289.0,49470.0,26711.0,8104,37.55,16%,271.0
2024-03-01,BEL,39524.0,682.0,63.0,20268.0,3985,5.45,40%,-2739.0
2024-03-01,BHEL,59788.0,256.0,8856.0,23893.0,282,0.81,31%,274.0
2024-03-01,CDSL,1781.0,1149.0,1.0,812.0,420,20.05,55%,-32.0
2024-03-01,CIPLA,32533.0,5449.0,559.0,25774.0,4154,51.05,25%,-49.0
2024-03-01,DRREDDY,38780.0,4930.0,2002.0,28011.0,5578,66.87,12%,133.0
2024-03-01,EXIDEIND,18149.0,5940.0,1123.0,16770.0,883,10.31,19%,183.0
2024-03-01,HAL,80911.0,1591.0,50.0,30381.0,7621,113.96,31%,-186.0
2024-03-01,HINDZINC,33895.0,10452.0,8722.0,28932.0,7759,18.36,71%,-6.0
2024-03-01,IDEA,184997.0,0.0,243809.0,42652.0,-31238,-6.23,0%,-61.0
2024-03-01,JIOFIN,144863.0,133292.0,0.0,1855.0,1605,2.53,0%,11.0
2024-03-01,JMFINANCIL,29592.0,4724.0,16228.0,4786.0,31,4.29,47%,1708.0
2024-03-01,KAYNES,3265.0,132.0,323.0,1805.0,183,28.68,0%,-7.0
2024-03-01,KOLTEPATIL,4947.0,125.0,1117.0,1371.0,-67,-9.12,-44%,74.0
2024-03-01,KOTAKBANK,767667.0,246446.0,,,18213,91.62,2%,22281.0
2024-03-01,KPITTECH,4098.0,94.0,329.0,4872.0,599,21.69,31%,201.0
2024-03-01,LAURUSLABS,8387.0,124.0,2577.0,5041.0,162,2.98,27%,93.0
2024-03-01,MOTILALOFS,31771.0,6501.0,13787.0,7069.0,2446,40.96,9%,2709.0
2024-03-01,NMDC,35661.0,956.0,3359.0,21308.0,5575,6.34,38%,16.0
2024-03-01,PAYTM,17139.0,4628.0,177.0,9978.0,-1422,-22.3,0%,967.0
2024-03-01,PGEL,2310.0,6.0,435.0,2746.0,135,5.17,4%,22.0
2024-03-01,PRAJIND,2894.0,497.0,169.0,3466.0,283,15.42,39%,70.0
