Period,Stock,Sales,Net Profit,EPS in Rs,Promoters,FIIs,DIIs,Government,Public
2023-12-01,SAIL,23349.0,423,1.02,65.00%,4.34%,15.46%,0.00%,15.20%
2023-12-01,SKIPPER,802.0,20,1.81,71.89%,7.40%,0.15%,,20.57%
2023-12-01,SUZLON,1560.0,203,0.15,13.28%,17.83%,6.16%,0.00%,62.74%
2023-12-01,TATAMOTORS,110577.0,7145,21.14,46.37%,18.62%,17.25%,0.14%,17.60%
2023-12-01,VEDL,35541.0,2868,5.42,63.71%,7.74%,11.19%,0.07%,17.23%
2023-12-01,YESBANK,6989.0,243,0.08,,23.79%,41.98%,0.01%,34.21%
2023-12-01,ZYDUSLIFE,4505.0,790,7.8,74.98%,4.99%,12.96%,0.07%,6.99%
2024-03-01,ADANIGREEN,2527.0,310,0.95,56.37%,18.15%,1.55%,,23.93%
2024-03-01,ADANIPORTS,6896.0,2015,9.44,65.89%,14.98%,11.84%,0.00%,7.30%
2024-03-01,BEL,8564.0,1797,2.46,51.14%,17.56%,22.63%,,8.66%
2024-03-01,BHEL,8260.0,490,1.41,63.17%,8.76%,15.95%,,12.14%
2024-03-01,CDSL,241.0,129,6.18,15.00%,11.38%,23.15%,,50.47%
2024-03-01,CIPLA,6163.0,932,11.63,33.46%,25.82%,24.15%,0.21%,16.36%
2024-03-01,DRREDDY,7114.0,1310,15.7,26.65%,29.13%,18.31%,,25.73%
2024-03-01,EXIDEIND,4173.0,186,2.17,45.99%,13.57%,18.57%,,21.88%
2024-03-01,HAL,14769.0,4309,64.43,71.64%,12.42%,9.58%,0.00%,6.36%
2024-03-01,HINDZINC,7549.0,2038,4.82,64.92%,0.60%,2.98%,29.54%,1.97%
2024-03-01,IDEA,10607.0,-7675,-1.53,48.91%,1.97%,2.20%,32.23%,14.69%
2024-03-01,JIOFIN,418.0,311,0.49,47.12%,19.45%,12.50%,0.14%,20.77%
2024-03-01,JMFINANCIL,1261.0,-674,-2.39,56.44%,18.19%,8.46%,,16.91%
2024-03-01,KAYNES,637.0,81,12.71,57.83%,14.19%,18.36%,,9.61%
2024-03-01,KOLTEPATIL,526.0,-26,-3.57,69.45%,4.77%,6.02%,,19.77%
2024-03-01,KOTAKBANK,15156.0,5337,26.85,25.90%,37.59%,23.40%,,13.11%
2024-03-01,KPITTECH,1318.0,166,6.0,39.47%,23.98%,14.00%,,21.49%
2024-03-01,LAURUSLABS,1440.0,75,1.4,27.18%,25.98%,11.78%,,35.07%
2024-03-01,MOTILALOFS,2154.0,725,12.13,69.16%,6.73%,6.94%,,17.16%
2024-03-01,NMDC,6489.0,1410,1.61,60.79%,12.60%,14.09%,,12.51%
2024-03-01,PAYTM,2267.0,-550,-8.65,,60.41%,6.85%,,32.75%
2024-03-01,PGEL,1077.0,70,2.67,53.70%,11.02%,10.94%,,24.33%
2024-03-01,PRAJIND,1019.0,92,5.0,32.81%,18.87%,13.69%,,34.64%
2024-03-01,RELIANCE,236533.0,21243,14.01,50.31%,22.06%,16.98%,0.19%,10.46%
2024-03-01,SAIL,27959.0,1126,2.73,65.00%,3.18%,15.86%,0.00%,15.96%
2024-03-01,SKIPPER,1154.0,25,2.23,66.47%,4.60%,0.20%,,28.72%
2024-03-01,SUZLON,2196.0,254,0.19,13.28%,19.57%,6.30%,0.00%,60.85%
2024-03-01,TATAMOTORS,119033.0,17528,52.37,46.36%,19.20%,16.01%,0.14%,18.31%
2024-03-01,VEDL,35509.0,2275,3.68,61.95%,8.77%,13.15%,0.07%,15.86%
2024-03-01,YESBANK,7458.0,467,0.16,,22.01%,41.50%,0.01%,36.47%
2024-03-01,ZYDUSLIFE,5534.0,1246,11.75,74.98%,5.72%,12.55%,0.07%,6.66%
2024-06-01,ADANIGREEN,2835.0,629,2.82,57.51%,16.91%,1.46%,,24.11%
2024-06-01,ADANIPORTS,7560.0,3107,14.41,65.89%,15.19%,12.48%,0.00%,6.44%
2024-06-01,BEL,4244.0,791,1.08,51.14%,17.43%,20.62%,,10.82%
2024-06-01,BHEL,5485.0,-211,-0.61,63.17%,9.10%,15.03%,,12.71%
2024-06-01,CDSL,257.0,134,6.42,15.00%,14.00%,24.92%,,46.09%
2024-06-01,CIPLA,6694.0,1175,14.58,30.91%,27.82%,24.66%,0.21%,16.40%
2024-06-01,DRREDDY,7696.0,1392,16.69,26.65%,27.68%,20.72%,,24.78%
2024-06-01,EXIDEIND,4436.0,221,2.59,45.99%,13.74%,17.87%,,22.39%
2024-06-01,HAL,4348.0,1437,21.49,71.64%,11.68%,8.81%,0.00%,7.86%
2024-06-01,HINDZINC,8130.0,2345,5.55,64.92%,0.74%,3.01%,29.54%,1.78%
2024-06-01,IDEA,10508.0,-6432,-0.95,38.17%,12.67%,7.44%,23.80%,17.89%
2024-06-01,JIOFIN,418.0,313,0.49,47.12%,17.55%,11.79%,0.15%,23.39%
2024-06-01,JMFINANCIL,1077.0,187,1.79,56.43%,16.83%,8.63%,,18.11%
2024-06-01,KAYNES,504.0,51,7.94,57.83%,14.27%,17.88%,,10.03%
2024-06-01,KOLTEPATIL,341.0,6,0.82,69.45%,4.51%,4.96%,,21.09%
2024-06-01,KOTAKBANK,15837.0,7448,37.47,25.89%,33.16%,27.69%,,13.26%
2024-06-01,KPITTECH,1365.0,204,7.45,39.47%,22.23%,16.64%,,20.63%
2024-06-01,LAURUSLABS,1195.0,13,0.23,27.18%,25.67%,13.56%,,33.59%
2024-06-01,MOTILALOFS,2312.0,884,14.77,69.04%,6.46%,6.06%,,18.42%
2024-06-01,NMDC,5414.0,1969,2.24,60.79%,12.76%,14.31%,,12.12%
2024-06-01,PAYTM,1502.0,-840,-13.19,,58.25%,7.04%,,34.73%
2024-06-01,PGEL,1321.0,84,3.21,53.56%,11.07%,9.89%,,25.22%
2024-06-01,PRAJIND,699.0,84,4.58,32.81%,18.55%,16.65%,,31.99%
